,index,to_address,from_address,value,gas,block_timestamp,time_b/w_trans,type_of_trans,malicious
43,33,0xa090e606e30bd747d4e6245a1517ebe430f0057e,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0.030873564,21000,2022-03-11T20:36:42.000Z,4,1,0
44,32,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:36:42.000Z,0,0,0
45,31,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:36:42.000Z,0,0,0
46,30,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:37:08.000Z,26,0,0
47,29,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:37:28.000Z,20,0,0
48,28,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:37:31.000Z,3,0,0
49,27,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:37:47.000Z,16,0,0
50,26,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:37:59.000Z,12,0,0
51,25,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:38:03.000Z,4,0,0
52,24,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:38:10.000Z,7,0,0
53,23,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:38:31.000Z,21,0,0
54,22,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:38:31.000Z,0,0,0
55,21,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:38:31.000Z,0,0,0
56,20,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:39:10.000Z,39,0,0
57,19,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.0069,22536,2022-03-11T20:39:17.000Z,7,0,0
58,18,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.004,22536,2022-03-11T20:39:17.000Z,0,0,0
59,17,0x3cd751e6b0078be393132286c442345e5dc49699,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0.073813564,21000,2022-03-11T20:42:50.000Z,213,1,0
60,16,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.0042069,22536,2022-03-11T21:12:45.000Z,1795,0,0
61,15,0xa090e606e30bd747d4e6245a1517ebe430f0057e,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0.002455293,21000,2022-03-11T21:16:58.000Z,253,1,0
62,14,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.0042069,22536,2022-03-11T21:17:09.000Z,11,0,0
63,13,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.0042069,22536,2022-03-11T21:25:40.000Z,511,0,0
64,12,0xa090e606e30bd747d4e6245a1517ebe430f0057e,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0.008264312,21000,2022-03-11T21:27:04.000Z,84,1,0
65,11,0xd5376cac7471133380a055b9d1f1c612bb68c10d,0x03cf40b900971561ac6bd997ef1fe939dcbc95e2,0.0042069,22536,2022-03-11T21:33:21.000Z,377,0,0
