,Source,Target,Weight,Type
202,CodeMonkeyZ,toejam003,3,Directed
203,EmeraldRobinson,cyndiCDG,3,Directed
204,EmeraldRobinson,kwillde01,3,Directed
205,EmeraldRobinson,H2211C,3,Directed
206,HowleyReporter,RerunOddguns,3,Directed
207,Scrappy94546226,Scrappy94546226,3,Directed
208,CodeMonkeyZ,m0nsterlab,3,Directed
209,CodeMonkeyZ,gschumacher09,3,Directed
210,CodeMonkeyZ,William55340950,3,Directed
211,EmeraldRobinson,a_recob,3,Directed
212,EmeraldRobinson,LadyRebel15,2,Directed
213,HowleyReporter,LORISAXON,2,Directed
214,CodeMonkeyZ,WTF___Over,2,Directed
215,EmeraldRobinson,I_Say_Yeah123,2,Directed
216,CodeMonkeyZ,WayneGriswold,2,Directed
217,CodeMonkeyZ,Chris4patriots,2,Directed
218,HowleyReporter,ShannonDCGarret,2,Directed
219,EmeraldRobinson,PerspicaciousXY,2,Directed
220,paulsperry_,directorblue,2,Directed
221,CodeMonkeyZ,ElisaVe98837636,2,Directed
222,MD_H0_DrAaronFC,hildatoredcano,2,Directed
223,CodeMonkeyZ,tina10004359,2,Directed
224,charliekirk11,mrondael,2,Directed
225,EmeraldRobinson,Me22047288,2,Directed
226,KelemenCari,LIzGordonMartin,2,Directed
227,EmeraldRobinson,dmcory9,2,Directed
228,CodeMonkeyZ,heather_hilgers,2,Directed
229,EmeraldRobinson,ChooChooLife,2,Directed
230,LLinWood,WeAreTheWorldL1,2,Directed
231,EmeraldRobinson,laguilar0320,2,Directed
232,jennycohn1,heatherhaney1,2,Directed
233,gatewaypundit,WILDDOGSRULE1,2,Directed
234,CodeMonkeyZ,laurits73,2,Directed
235,CodeMonkeyZ,dinguidb,2,Directed
236,EmeraldRobinson,AngelinaAddis12,2,Directed
237,realDonaldTrump,ChowkidarRamesh,2,Directed
238,CodeMonkeyZ,Annythepatriot,2,Directed
239,CodeMonkeyZ,roboto54,2,Directed
240,EmeraldRobinson,ChristineCC14,2,Directed
241,CodeMonkeyZ,AngelsRhere3,2,Directed
242,CodeMonkeyZ,Angevin1170,2,Directed
243,gatewaypundit,Anny574637322,2,Directed
244,CodeMonkeyZ,lambsonjeff,2,Directed
245,realDonaldTrump,dlwusa,2,Directed
246,LLinWood,dloussaert,2,Directed
247,realDonaldTrump,Shannonagain2,2,Directed
248,realDonaldTrump,AnnW07197718,2,Directed
249,EmeraldRobinson,bocavista2016,2,Directed
250,CodeMonkeyZ,bocavista2016,2,Directed
