,Author,Thread Author,Engagement Type,frequency
251,kbstockwell,EmeraldRobinson,RETWEET,2
252,DuckFanbcs14,EmeraldRobinson,RETWEET,2
253,DiraSmart,9NEWSNANCY,RETWEET,2
254,kmac5999,EmeraldRobinson,RETWEET,2
255,kbk3n3,JMichaelWaller,RETWEET,2
256,kbk3n3,EmeraldRobinson,RETWEET,2
257,kmaiken64,LLinWood,RETWEET,2
258,DouglasFunny7,CodeMonkeyZ,RETWEET,2
259,kerryfoust,EmeraldRobinson,RETWEET,2
260,DianaChic1,gatewaypundit,RETWEET,2
261,DorranceEduardo,LLinWood,RETWEET,2
262,DonaldLondquist,EmeraldRobinson,RETWEET,2
263,DonRoscio,Ramnier,RETWEET,2
264,DonnaNeuendorf1,EmeraldRobinson,RETWEET,2
265,DonnaNeuendorf1,LLinWood,RETWEET,2
266,Donna__Jo,EmeraldRobinson,RETWEET,2
267,kimmyk777,LLinWood,RETWEET,2
268,kims4517,LLinWood,RETWEET,2
269,Donna__Jo,LLinWood,RETWEET,2
270,Donns08529221,CodeMonkeyZ,RETWEET,2
271,kindberg_h,EmeraldRobinson,RETWEET,2
272,khalidk22,realDonaldTrump,RETWEET,2
273,kfjelsted,LLinWood,RETWEET,2
274,DomainJulian,jennycohn1,RETWEET,2
275,DoctorbMD,gatewaypundit,RETWEET,2
276,DoctorSekzi,CodeMonkeyZ,RETWEET,2
277,kbjabru,MaihenH,RETWEET,2
278,DudshaDudsha1,LLinWood,RETWEET,2
279,kmcgregor0006,realDonaldTrump,RETWEET,2
280,Dukeof2020,LLinWood,RETWEET,2
281,Echo2323,charliekirk11,RETWEET,2
282,EdDennington,EmeraldRobinson,RETWEET,2
283,koigi3,koigi3,RETWEET,2
284,kilalaci1,CodeMonkeyZ,RETWEET,2
285,EdwardSurett,EmeraldRobinson,RETWEET,2
286,kacee1115,EmeraldRobinson,RETWEET,2
287,kpatriot17,EmeraldRobinson,RETWEET,2
288,EgoMusic68,AOECOIN,RETWEET,2
289,DianaSc99717236,jennycohn1,RETWEET,2
290,EileenDiana,EmeraldRobinson,RETWEET,2
291,Elecc_Autentica,cocando,RETWEET,2
292,ElisaVe98837636,CodeMonkeyZ,RETWEET,2
293,DianaPickard4,iheartmindy,RETWEET,2
294,Elizabe45314738,EmeraldRobinson,RETWEET,2
295,jun19810404,realDonaldTrump,RETWEET,2
296,DickieB18,EmeraldRobinson,RETWEET,2
297,DiegoFrisco,EmeraldRobinson,RETWEET,2
298,DiegoMa05595851,EmeraldRobinson,RETWEET,2
299,kathy19090674,TheRealKeean,RETWEET,2
300,DinaMurad7,CodeMonkeyZ,RETWEET,2
301,DullDianna,CodeMonkeyZ,RETWEET,2
302,Dimitri2020LLC,EmeraldRobinson,RETWEET,2
303,kathyw818,LLinWood,RETWEET,2
304,EDMATIK,EmeraldRobinson,RETWEET,2
305,EFertmane,KanekoaTheGreat,RETWEET,2
306,DiegoMa05595851,realDonaldTrump,RETWEET,2
307,DiegoMa05595851,LLinWood,RETWEET,2
308,kathleensmith4,EmeraldRobinson,RETWEET,2
309,kathleen_ruger,CodeMonkeyZ,RETWEET,2
310,ESTHERHaldane,JedediahBila,RETWEET,2
311,karla_switlick,EmeraldRobinson,RETWEET,2
312,karl11871668,clif_high,RETWEET,2
313,Eccoscott,EmeraldRobinson,RETWEET,2
314,kerchacon,Ramnier,RETWEET,2
315,Sanlofe,EmeraldRobinson,RETWEET,2
316,johnlewispromo,KanekoaTheGreat,RETWEET,2
317,HelenTuttle,EmeraldRobinson,RETWEET,2
318,hereforpotus,CodeMonkeyZ,RETWEET,2
319,henjenca,gatewaypundit,RETWEET,2
320,HawkMaga,LLinWood,RETWEET,2
321,Heather46636258,CodeMonkeyZ,RETWEET,2
322,heatherhaney1,jennycohn1,RETWEET,2
323,Heatherhamama,EmeraldRobinson,RETWEET,2
324,Heatherhamama,LLinWood,RETWEET,2
325,heather_hilgers,CodeMonkeyZ,RETWEET,2
326,Heatherhamama,marklevinshow,RETWEET,2
327,hayatti10,EmeraldRobinson,RETWEET,2
328,Heliosat,Megavolts001,RETWEET,2
329,HatleyGregory,CodeMonkeyZ,RETWEET,2
330,HermannCadevill,realDonaldTrump,RETWEET,2
331,happyfinko,HowleyReporter,RETWEET,2
332,hannamyerswv,charliekirk11,RETWEET,2
333,hanguifang,LLinWood,RETWEET,2
334,HilldaleLions,gatewaypundit,RETWEET,2
335,HilldaleLions,kylenabecker,RETWEET,2
336,haimar77801717,VTVcanal8,RETWEET,2
337,hadlock_d,EmeraldRobinson,RETWEET,2
338,h_bergeroni,LLinWood,RETWEET,2
339,gwynne38,CodeMonkeyZ,RETWEET,2
340,hereforpotus,LLinWood,RETWEET,2
341,HarryBerbely,gatewaypundit,RETWEET,2
342,Farmgir00441729,LLinWood,RETWEET,2
343,hoodtwink1,LLinWood,RETWEET,2
344,GregKOESTER,news_ntd,RETWEET,2
345,GrowHireBuyUSA,EmeraldRobinson,RETWEET,2
346,iJancy,CodeMonkeyZ,RETWEET,2
347,hvwarriors71,charliekirk11,RETWEET,2
348,huskybags,LLinWood,RETWEET,2
349,Gulliversmomma,CodeMonkeyZ,RETWEET,2
350,GusGarciaIII,CodeMonkeyZ,RETWEET,2
351,Guy369Jupiter,EmeraldRobinson,RETWEET,2
352,howelco,CodeMonkeyZ,RETWEET,2
353,houndmen,kawasoe0916,RETWEET,2
354,HParrella,MaihenH,RETWEET,2
355,hfc7507,EmeraldRobinson,RETWEET,2
356,hollywoodbld1,CodeMonkeyZ,RETWEET,2
357,hollyshanger,HowleyReporter,RETWEET,2
358,holly_houston,LLinWood,RETWEET,2
359,Hahndo2,CodeMonkeyZ,RETWEET,2
360,holland031,LouDobbs,RETWEET,2
361,hmcrewB10542500,CodeMonkeyZ,RETWEET,2
362,hildatoredcano,MD_H0_DrAaronFC,RETWEET,2
363,HardCoreAds,CodeMonkeyZ,RETWEET,2
364,HardCoreAds,gatewaypundit,RETWEET,2
365,hgquiceno,Ramnier,RETWEET,2
366,HogDexter,HogDexter,RETWEET,2
367,gustadoloz,themarketswork,RETWEET,2
368,HollesterS,CodeMonkeyZ,RETWEET,2
369,game_changer1,EmeraldRobinson,RETWEET,2
370,IowaGirlPatriot,EmeraldRobinson,RETWEET,2
371,Irapeda,Ramnier,RETWEET,2
372,Is_43_19,CodeMonkeyZ,RETWEET,2
373,georgewl1,RedWingGrips,RETWEET,2
374,genlung,charliekirk11,RETWEET,2
375,gcombs71,LLinWood,RETWEET,2
376,gcombs71,KelemenCari,RETWEET,2
377,J3susLoves,gatewaypundit,RETWEET,2
378,JAnonymousNY,EmeraldRobinson,RETWEET,2
379,gary37h,ChanelRion,RETWEET,2
380,JENin140,CodeMonkeyZ,RETWEET,2
381,Hoodyshit1981,EmeraldRobinson,RETWEET,2
382,gallowaygirl9,OANN,RETWEET,2
383,JG52020,LLinWood,RETWEET,2
384,gailmggmg,CodeMonkeyZ,RETWEET,2
385,JKBGigi,LLinWood,RETWEET,2
386,JKGlass29,CodeMonkeyZ,RETWEET,2
387,fuhqu2,gatewaypundit,RETWEET,2
388,JORGEMA77376542,CodeMonkeyZ,RETWEET,2
389,JOSECOWBOYS17,RedWingGrips,RETWEET,2
390,JPrincess78,NikolovScience,RETWEET,2
391,free_fair_usa,realDonaldTrump,RETWEET,2
392,gholmes1953,gatewaypundit,RETWEET,2
393,ginarocksu,EmeraldRobinson,RETWEET,2
